,Year,Country,Population,Emissions
32,2010,Canada,34004889,702802.75
65,2010,France,65027507,513461.78
51,2010,Germany,81776930,941805.34
96,2010,Italy,59277417,516473.73
99,2010,Japan,128070000,1300451.71
166,2010,Romania,20246871,116143.75
167,2010,Russia,142849449,2013432.45
203,2010,Ukraine,45870700,407123.69
69,2010,United Kingdom,62766365,608732.30
205,2010,United States,309326085,6991106.34
251,2011,Canada,34339328,714078.51
284,2011,France,65342780,488902.16
270,2011,Germany,80274983,917273.60
315,2011,Italy,59379449,503645.26
318,2011,Japan,127833000,1351251.66
385,2011,Romania,20147528,123862.20
386,2011,Russia,142960868,2070533.86
422,2011,Ukraine,45706100,428395.17
288,2011,United Kingdom,63258918,563659.98
424,2011,United States,311580009,6827402.42
470,2012,Canada,34714222,717172.39
502,2012,France,65659809,490286.17
489,2012,Germany,80425823,923342.03
533,2012,Italy,59539717,484218.02
536,2012,Japan,127629000,1394043.99
603,2012,Romania,20058035,121086.33
604,2012,Russia,143201676,2095638.94
640,2012,Ukraine,45593300,417435.21
506,2012,United Kingdom,63700300,580418.64
642,2012,United States,313874218,6585907.77
688,2013,Canada,35082954,725371.84
720,2013,France,65998687,491502.99
707,2013,Germany,80645605,940419.54
751,2013,Italy,60233948,449178.94
754,2013,Japan,127445000,1405888.61
821,2013,Romania,19983693,111881.72
822,2013,Russia,143506911,2037755.83
858,2013,Ukraine,45489600,409042.06
724,2013,United Kingdom,64128226,566545.83
860,2013,United States,316057727,6764669.11
906,2014,Canada,35437435,722557.67
938,2014,France,66316100,461188.53
925,2014,Germany,80982500,901255.14
969,2014,Italy,60789140,427930.41
972,2014,Japan,127276000,1356588.54
1039,2014,Romania,19908979,112485.91
1040,2014,Russia,143819666,2037987.26
1076,2014,Ukraine,45271947,362608.94
942,2014,United Kingdom,64613160,526556.30
1078,2014,United States,318386421,6824956.71
8,2015,Canada,36026676,723096.02
5,2015,France,64453200,464205.67
3,2015,Germany,81787411,904261.81
6,2015,Italy,60578494,440436.70
2,2015,Japan,127985133,1318516.70
9,2015,Romania,19925175,113193.87
1,2015,Russia,144985057,2035889.30
7,2015,Ukraine,44921639,319141.19
4,2015,United Kingdom,65860146,509050.72
0,2015,United States,320878310,6671112.07
18,2016,Canada,36382944,706933.91
15,2016,France,64667596,467060.00
13,2016,Germany,82193768,907967.91
16,2016,Italy,60663060,437696.09
12,2016,Japan,127763265,1301855.89
19,2016,Romania,19796285,110762.21
11,2016,Russia,145275383,2037209.58
17,2016,Ukraine,44713702,337456.51
14,2016,United Kingdom,66297944,484146.20
10,2016,United States,323015995,6520337.84
28,2017,Canada,36732095,716092.01
25,2017,France,64842509,470564.32
23,2017,Germany,82658409,892075.67
26,2017,Italy,60673701,432713.74
22,2017,Japan,127502725,1288528.72
29,2017,Romania,19653969,114245.64
21,2017,Russia,145530082,2071543.37
27,2017,Ukraine,44487709,323045.06
24,2017,United Kingdom,66727461,473389.98
20,2017,United States,325084756,6483291.33
38,2018,Canada,37074562,728475.89
35,2018,France,64990511,452034.46
33,2018,Germany,83124418,855890.41
36,2018,Italy,60627291,428549.35
32,2018,Japan,127202192,1245020.89
39,2018,Romania,19506114,115090.96
31,2018,Russia,145734038,2133581.60
37,2018,Ukraine,44246156,339797.89
34,2018,United Kingdom,67141684,466666.98
30,2018,United States,327096265,6671449.40
48,2019,Canada,37411047,730244.94
45,2019,France,65129728,442984.67
43,2019,Germany,83517045,809798.54
46,2019,Italy,60550075,418280.60
42,2019,Japan,126860301,1209493.35
49,2019,Romania,19364557,111767.06
41,2019,Russia,145872256,2119432.41
47,2019,Ukraine,43993638,332114.02
44,2019,United Kingdom,67530172,453101.46
40,2019,United States,329064917,6558345.18
